track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_genre
124,JJ Heller,You Already Know,You Already Know,57,214360,False,0.496,0.117,-12.884,1,0.0301,0.933,0.0,0.126,0.318,78.068,acoustic
125,Ben Woodward,Believer (Remix),Believer (Remix),42,204480,False,0.585,0.724,-6.513,0,0.0745,0.315,0.0681,0.0448,0.333,187.484,acoustic
126,Howie Day,Stop All the World Now (Special Edition),Collide - Acoustic Version,67,277000,False,0.582,0.253,-11.43,1,0.0259,0.827,2.95e-05,0.091,0.294,90.186,acoustic
127,Ben Rector,Magic,Love Like This,61,214240,False,0.637,0.14,-11.472,1,0.0407,0.903,0.0,0.107,0.392,139.78,acoustic
128,Matt Nathanson,Some Mad Hope,Come On Get Higher,71,215173,False,0.672,0.623,-5.699,1,0.0297,0.241,0.0,0.0848,0.617,92.018,acoustic
129,Rachael Yamagata,Something In the Rain (Music from the Original TV Series),"""Something In the Rain"" (Something In the Rain, Pt. 1) [Music from the Original TV Series]",49,296862,False,0.422,0.272,-10.772,0,0.0353,0.496,1.07e-05,0.0704,0.113,143.413,acoustic
130,Parachute,The Way It Was,Kiss Me Slowly,61,235813,False,0.47,0.801,-6.426,1,0.0352,0.0758,3.53e-05,0.218,0.431,173.92,acoustic
131,Parachute,Wide Awake,Without You,61,228933,False,0.564,0.864,-5.121,1,0.0341,0.0761,0.0,0.182,0.534,95.984,acoustic
132,Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),Absolutely Zero,20,339196,False,0.521,0.495,-7.756,1,0.027,0.128,0.0,0.296,0.116,135.061,acoustic
133,Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),Sleep All Day,22,296843,False,0.616,0.81,-6.51,1,0.0668,0.369,0.0,0.107,0.79,97.994,acoustic
134,Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),You and I Both,35,218240,False,0.615,0.812,-6.573,1,0.0458,0.184,0.0,0.328,0.74,98.954,acoustic
135,Eddie Vedder,Into The Wild (Music For The Motion Picture),Long Nights,60,151773,False,0.478,0.305,-13.062,1,0.0306,0.675,0.00139,0.169,0.0974,108.66,acoustic
136,Gabrielle Aplin,English Rain,Please Don't Say You Love Me,59,181400,False,0.479,0.541,-9.862,1,0.0545,0.737,0.0,0.108,0.321,85.994,acoustic
137,KT Tunstall,Eye To The Telescope,Suddenly I See,73,201706,False,0.587,0.767,-5.713,1,0.0449,0.225,0.0,0.112,0.664,100.38,acoustic
138,Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),Who Needs Shelter,22,192260,False,0.514,0.569,-7.866,0,0.03,0.601,2.21e-06,0.218,0.264,142.597,acoustic
139,Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),No Stopping Us,19,198855,False,0.646,0.836,-6.203,1,0.0327,0.301,3.23e-05,0.29,0.727,105.991,acoustic
140,Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),I'll Do Anything,24,191889,False,0.57,0.711,-4.155,1,0.0703,0.119,0.0,0.352,0.648,163.117,acoustic
141,JJ Heller,I Dream of You: CALM,Make You Feel My Love,57,171293,False,0.678,0.199,-9.785,1,0.0307,0.957,3.23e-06,0.0968,0.262,72.006,acoustic
142,Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),The Remedy (I Won't Worry),35,256440,False,0.589,0.867,-4.523,1,0.0385,0.041,0.0,0.306,0.795,94.52,acoustic
143,Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),Too Much Food,20,221425,False,0.626,0.926,-4.441,1,0.0477,0.0265,0.0,0.159,0.548,99.997,acoustic
144,Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),The Boy's Gone,18,255047,False,0.686,0.556,-8.5,0,0.0271,0.532,0.0,0.0922,0.36,112.997,acoustic
145,Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),"On Love, in Sadness",19,208793,False,0.56,0.832,-5.595,1,0.0352,0.108,0.0,0.232,0.802,100.957,acoustic
146,Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),Curbside Prophet,23,214552,False,0.619,0.793,-5.964,1,0.0661,0.263,0.0,0.0828,0.892,177.991,acoustic
147,Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),"Tonight, Not Again - Live",19,264280,False,0.56,0.278,-12.501,1,0.0921,0.733,0.0,0.112,0.594,102.187,acoustic
148,Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),"Tonight, Not Again",18,289041,False,0.595,0.805,-7.926,1,0.0543,0.0167,1.06e-05,0.0691,0.359,102.44,acoustic
149,Eddie Vedder,Into The Wild (Music For The Motion Picture),Hard Sun,65,322080,False,0.438,0.827,-6.531,1,0.0328,0.0512,0.000402,0.319,0.645,143.377,acoustic
150,Susie Suh;Robot Koch,Here with Me,Here with Me,55,238971,False,0.582,0.375,-13.277,0,0.0329,0.702,0.0631,0.136,0.106,129.909,acoustic
151,Tyler Ward;Lindsey Stirling;Kina Grannis,"Tyler Ward Covers, Vol. 5",The Scientist,47,276575,False,0.453,0.295,-12.881,1,0.0291,0.518,0.00011,0.293,0.14,146.022,acoustic
152,Howie Day,Stop All The World Now,Collide,56,249120,False,0.636,0.625,-7.895,1,0.0277,0.222,5.35e-05,0.119,0.342,93.931,acoustic
153,Eden Elf;Ren Avel,get better,get better,53,111734,False,0.639,0.201,-16.613,0,0.0526,0.907,2.26e-05,0.124,0.4,88.107,acoustic
154,Kitri,Hikare Inochi,Sympathy,49,210760,False,0.69,0.423,-9.194,0,0.0294,0.883,0.0123,0.111,0.59,130.121,acoustic
155,Boyce Avenue;Rachel Grae,Let It Go,Let It Go,51,255688,False,0.599,0.349,-9.269,1,0.0301,0.819,0.0,0.112,0.444,147.913,acoustic
156,Chord Overstreet,What You Need,What You Need,53,181786,False,0.519,0.264,-11.171,1,0.0601,0.918,0.000253,0.237,0.192,140.354,acoustic
157,Five For Fighting,The Battle for Everything,100 Years,66,244600,False,0.643,0.569,-7.459,1,0.0276,0.544,2.17e-05,0.178,0.275,120.507,acoustic
158,Andrew Belle,Nightshade,You're the Sea,56,174546,False,0.573,0.624,-9.076,0,0.0324,0.471,0.117,0.114,0.529,161.025,acoustic
159,Rachael Yamagata,"One Spring Night (Original Television Soundtrack), Pt. 1",No Direction,47,234330,False,0.654,0.821,-5.472,1,0.0264,0.00666,0.00299,0.228,0.613,111.958,acoustic
160,Cary Brothers,Under Control,Belong,51,255600,False,0.426,0.399,-8.447,1,0.034,0.761,0.00112,0.118,0.217,115.979,acoustic
161,The Mayries,As It Was,As It Was,55,176542,False,0.505,0.21,-11.349,1,0.0295,0.907,0.0,0.11,0.323,80.721,acoustic
162,Jason Mraz,I'm Yours,I'm Yours,60,243494,False,0.693,0.43,-9.395,1,0.0442,0.565,0.0,0.0928,0.731,151.001,acoustic
163,Joseph Sullinger,Chi Mai,Chi Mai,40,188695,False,0.739,0.287,-14.007,0,0.059,0.969,0.961,0.111,0.557,80.64,acoustic
164,A Great Big World;Christina Aguilera,Say Something,Say Something,58,229400,False,0.453,0.146,-8.976,1,0.0343,0.867,3.49e-06,0.0945,0.0915,137.905,acoustic
165,Parachute,Parachute,Had It All,55,216853,False,0.606,0.54,-6.271,0,0.0339,0.182,0.000144,0.144,0.249,79.952,acoustic
166,Zack Tabudlo;Yonnyboii,Take Me Back,Take Me Back ft. Yonnyboii,50,149000,False,0.595,0.646,-5.495,1,0.0327,0.11,0.0,0.258,0.563,120.049,acoustic
167,Tobey Rosen,Whole Again (Acoustic Version),Whole Again - Acoustic Version,52,157231,False,0.736,0.145,-9.215,1,0.0336,0.855,0.0,0.108,0.235,129.832,acoustic
168,The Mayries,Overpass Graffiti,Overpass Graffiti,54,226603,False,0.479,0.126,-13.974,1,0.0303,0.966,0.0,0.113,0.279,96.327,acoustic
169,Sara Bareilles,Little Voice,Love Song,73,258826,False,0.583,0.786,-3.142,0,0.0301,0.0208,0.0,0.188,0.573,123.055,acoustic
170,Andrew Foy;Renee Foy,Let Her Go,Let Her Go,38,194013,False,0.549,0.291,-13.457,1,0.0388,0.858,0.000846,0.129,0.376,75.153,acoustic
171,Aqualung,Still Life,Brighter Than Sunshine,53,242439,False,0.418,0.489,-8.373,0,0.0323,0.287,0.0288,0.42,0.398,72.891,acoustic
172,Tyler Ward;Karis;Ray Lorraine,Love Story,Love Story,55,232500,False,0.498,0.12,-17.721,1,0.0487,0.851,0.0,0.171,0.338,121.187,acoustic
173,Agustín Amigó;Nylonwings,Mujer con Abanico,Mujer con Abanico,41,156787,False,0.769,0.135,-12.049,0,0.061,0.986,0.905,0.106,0.471,103.939,acoustic
174,Amy Stroup,In the Shadows,In the Shadows,46,263823,False,0.434,0.469,-7.849,0,0.0265,0.52,0.000328,0.108,0.0568,136.282,acoustic
175,Boyce Avenue;Connie Talbot,Can You Feel the Love Tonight,Can You Feel the Love Tonight,63,250916,False,0.452,0.198,-9.374,1,0.0335,0.931,2.24e-06,0.1,0.217,119.499,acoustic
176,Brandi Carlile,The Story,The Story,66,238493,False,0.544,0.5,-8.253,1,0.026,0.0325,3.78e-06,0.109,0.177,93.621,acoustic
177,JJ Heller,Better,Better,54,215906,False,0.662,0.187,-9.003,1,0.0268,0.969,0.000273,0.0922,0.233,104.988,acoustic
178,Kina Grannis,Iris,Iris,62,181136,False,0.497,0.13,-15.571,1,0.0436,0.841,0.0,0.111,0.179,130.769,acoustic
179,The Mayries,#Acoustic,Rockabye - Acoustic Version,57,157466,False,0.528,0.291,-9.696,1,0.0401,0.914,0.0,0.121,0.355,76.805,acoustic
180,Caleb Santos;Viva Music Publishing Inc.,I Need You More Today,I Need You More Today,68,233728,False,0.461,0.522,-7.513,1,0.043,0.36,0.0,0.123,0.446,157.768,acoustic
181,Boyce Avenue,"Cover Sessions, Vol. 4",Beautiful Soul,62,216612,False,0.483,0.506,-6.058,1,0.0347,0.394,0.0,0.0946,0.705,87.337,acoustic
182,Jason Mraz,Know.,Let's See What The Night Can Do,53,245186,False,0.392,0.423,-7.813,1,0.0348,0.27,0.0,0.117,0.288,113.537,acoustic
183,Rachael Yamagata,Something In the Rain (Music from the Original TV Series),"La La La (Something In the Rain, Pt. 2) [Music from the Original TV Series]",44,219613,False,0.42,0.2,-18.827,1,0.0492,0.929,0.49,0.0758,0.164,87.248,acoustic
184,Parachute,The Way It Was,Forever And Always,57,248960,False,0.657,0.716,-5.675,1,0.0301,0.014,0.0,0.0483,0.435,93.924,acoustic
185,Priscilla Ahn,When Marnie Was There Song Album - Just Know That I Love You.,Fine On The Outside,52,252466,False,0.495,0.185,-13.824,1,0.0288,0.692,0.00403,0.109,0.196,101.89,acoustic
186,Chord Overstreet,Tree House Tapes,Tortured Soul,53,246613,False,0.55,0.499,-9.502,1,0.0338,0.472,2.26e-06,0.0798,0.144,86.966,acoustic
187,JJ Heller,I Believe in You,I Believe in You,53,198786,False,0.534,0.359,-9.311,1,0.0296,0.449,1.2e-05,0.331,0.267,131.804,acoustic
188,Jon Bryant,Cult Classic,At Home,55,226640,False,0.378,0.52,-10.965,1,0.0382,0.777,0.0888,0.0979,0.357,73.744,acoustic
189,Donovan Woods,"Hard Settle, Ain't Troubled","Portland, Maine",66,203869,False,0.606,0.349,-13.967,1,0.0319,0.764,0.306,0.112,0.156,80.071,acoustic
190,Ross Copperman,Holding On and Letting Go LP,Holding On and Letting Go,49,317441,False,0.486,0.555,-9.466,1,0.0271,0.818,0.00269,0.109,0.0992,77.987,acoustic
191,Joshua Hyslop,In Deepest Blue (Bonus Track Version),The Flood,60,261640,False,0.577,0.446,-11.343,1,0.0313,0.554,0.0782,0.116,0.262,81.005,acoustic
192,Angelina Cruz,Hanggang Kailan (Umuwi Ka Na Baby),Hanggang Kailan (Umuwi Ka Na Baby),38,211933,False,0.59,0.407,-9.079,1,0.0361,0.861,9.95e-06,0.094,0.276,145.852,acoustic
193,Stephen Speaks,No More Doubt,Out of My League,67,218800,False,0.538,0.315,-10.057,1,0.0291,0.96,0.00596,0.0979,0.4,91.921,acoustic
194,A Great Big World,Is There Anybody Out There? - Track by Track Commentary,Say Something,57,233266,False,0.447,0.158,-7.571,1,0.036,0.872,1.58e-06,0.0816,0.142,140.942,acoustic
195,Eddie Vedder,Into The Wild (Music For The Motion Picture),Rise,60,156453,False,0.401,0.58,-6.86,1,0.0541,0.906,0.217,0.134,0.526,173.277,acoustic
196,The Weepies;Deb Talan;Steve Tannen,Say I Am You,World Spins Madly On,64,165133,False,0.502,0.311,-13.421,1,0.0285,0.617,4.32e-05,0.129,0.4,107.612,acoustic
200,Motohiro Hata,青の光景,ひまわりの約束,61,308146,False,0.523,0.445,-6.359,1,0.0329,0.188,0.0,0.18,0.336,78.957,acoustic
201,Thomas Daniel,Since U Been Gone,Since U Been Gone - Acoustic Version,50,221170,False,0.538,0.162,-13.31,1,0.0299,0.847,0.0,0.114,0.366,94.981,acoustic
202,Masayoshi Yamazaki,"One more time,One more chance","One more time,One more chance",47,330786,False,0.519,0.429,-7.707,0,0.0317,0.658,0.0,0.111,0.396,129.491,acoustic
203,Kina Grannis,Creep,Creep,58,234135,False,0.585,0.103,-12.682,1,0.0309,0.801,0.0,0.126,0.179,133.057,acoustic
204,Todd Carey;Ariza;Chuck Leavell,Higher Love,Higher Love,30,173250,False,0.578,0.763,-4.824,1,0.0998,0.0916,2.8e-06,0.0743,0.394,96.808,acoustic
205,YUZU,Shinsekai,Hyouriittai,52,336619,False,0.223,0.891,-3.626,0,0.138,0.325,0.0,0.287,0.333,159.888,acoustic
206,Canyon City,How Long Will I Love You,How Long Will I Love You,55,144830,False,0.382,0.157,-16.157,1,0.0361,0.878,0.000473,0.112,0.224,136.11,acoustic
207,Zack Tabudlo,Binibini,Binibini,67,221538,False,0.642,0.374,-10.606,1,0.032,0.423,1.54e-06,0.435,0.0979,129.863,acoustic
208,Aron Wright,You Were Supposed to Be Different,You Were Supposed to Be Different,45,192972,False,0.436,0.239,-12.83,1,0.0282,0.861,8.48e-05,0.0902,0.137,73.761,acoustic
